Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
MICROCARE EMOLLIENT GTC;MX-258750-2703;THOR;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;800;15/03/2025;15/03/2027;COSMETICA
MICROCARE EMOLLIENT IPP;MX-258751-2701;THOR;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;2000;15/01/2025;15/01/2027;COSMETICA
MICROCARE ITO;MX-245361-2606;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;2000;04/06/2024;04/06/2026;COSMETICA
MICROCARE MHB;C-402945-2612;THOR;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;500;14/05/2024;31/12/2026;COSMETICA
MICROCARE NBCG;LX-1906 MICROCARE NBCG;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;450;28/02/2018;28/02/2020;COSMETICA
MICROCARE OHB;MX-260193-2608;THOR;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;500;15/08/2023;15/08/2026;COSMETICA
MICROCARE PEHG;C-502729-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;2500;14/05/2025;30/11/2026;COSMETICA
MICROCARE PHDG;MX-252550-2612;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;500;11/12/2024;11/12/2026;COSMETICA
MICROCARE PO;C-500536-2608;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;1;30/01/2025;30/08/2026;COSMETICA
MICROCARE QUAT EQG;C-405698-2610;THOR;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;1200;22/10/2024;31/10/2026;COSMETICA
MICROCARE SB;C-404160-2601;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;250;22/07/2024;31/01/2026;COSMETICA
MICROCARE SB;MX-252756-2603;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;150;15/09/2024;15/03/2026;COSMETICA
MICROCARE SBB;MX-256708-2610;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;No;500;23/04/2025;23/10/2026;COSMETICA
MICROCELAC 100;L103154523;MEGGLE;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;2000;01/11/2023;04/05/2025;FARMA
